date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-07-11,FirstHour,Buy,,2281048,9,18,07:25:37.700000,0,Sell,166.4949951171875,166.4949951171875,1.0,0.029820333697838698,1.0,167.0,165.7475,0.0,,2.0,-0.005329337662565494,,>1M
2025-07-11,RTH,Buy,,95300,0,1,07:51:29,0,Sell,166.4949951171875,166.4949951171875,1.0,0.03444574331072153,1.0,167.8,166.5415,0.0,,2.0,-0.0005363491635782248,,<100k
2025-07-11,RTH,Buy,,86790,0,1,07:55:05.600000,0,Sell,166.4949951171875,166.4949951171875,1.0,0.03051696821169858,1.0,167.12,165.8666,0.0,,2.0,-0.004607464035713457,,<100k
2025-07-11,RTH,Buy,Buy,1200088,1,1,08:08:09.700000,0,Sell,166.47869873046875,166.47869873046875,1.0,0.02848231532973,1.0,166.77,165.519225,0.0,,2.0,-0.0020986695280175677,,>1M
2025-07-11,RTH,Buy,,83190,0,1,08:54:06.600000,0,Sell,166.47869873046875,166.47869873046875,1.0,0.029820333697838698,1.0,167.0,165.7475,0.0,,2.0,-0.0007185336358532935,,<100k
2025-07-11,RTH,Buy,,66947,0,1,09:36:35.400000,0,Sell,166.1822967529297,166.1822967529297,1.0,0.02795773774621472,1.0,166.68,165.4299,0.0,,2.0,-6.0009847649647096e-05,,<100k
2025-07-11,RTH,Buy,,54704,0,1,10:00:01.100000,0,Sell,165.68150329589844,165.68150329589844,1.0,0.025736594873957148,1.0,166.3,165.05275000000003,0.0,,2.0,0.0003006614552015115,,<100k
2025-07-11,RTH,Buy,,146700,1,1,10:49:40,0,Sell,165.68150329589844,165.68150329589844,1.0,0.024034670968851597,2.0,166.01,164.764925,0.0,,2.0,-0.0014456960424071388,,100k-500k
2025-07-11,RTH,Buy,,72211,0,1,11:34:12,0,Sell,165.09500122070312,165.09500122070312,1.0,0.023917077700699268,2.0,165.99,164.745075,0.0,,2.0,-0.0006018723125263022,,<100k
2025-07-11,RTH,Buy,,441100,1,1,11:37:49.200000,0,Sell,165.09500122070312,165.09500122070312,1.0,0.02385827043944483,2.0,165.98,164.73515,0.0,,2.0,-0.0006621567969409582,,100k-500k
2025-07-11,RTH,Buy,,45295,0,1,12:30:23.800000,0,Sell,164.8800048828125,164.8800048828125,1.0,0.018714770320023475,2.0,165.11,163.871675,0.0,,2.0,-0.0023015292421055588,,<100k
2025-07-11,RTH,Buy,,99188,0,1,12:30:46.400000,0,Sell,164.8800048828125,164.8800048828125,1.0,0.018714770320023475,2.0,165.11,163.871675,0.0,,2.0,-0.0023015292421055588,,<100k
2025-07-11,RTH,Buy,,150132,1,1,12:39:25.200000,0,Sell,164.8800048828125,164.8800048828125,1.0,0.018833620344813527,2.0,165.13,163.891525,0.0,,2.0,-0.0021801337925517294,,100k-500k
2025-07-11,RTH,Buy,,50866,0,1,12:55:47,0,Sell,164.8800048828125,164.8800048828125,1.0,0.018655334509624814,2.0,165.1,163.86175,0.0,,2.0,-0.0023622379961482022,,<100k
2025-07-11,RTH,Buy,Buy,1200000,1,1,08:08:09.763000,0,Sell,166.47869873046875,166.47869873046875,1.0,0.02848231532973,1.0,166.77,165.519225,0.0,,2.0,-0.0020986695280175677,,>1M
2025-07-14,FirstHour,Buy,,151249,1,2,07:27:56.400000,0,Sell,164.75469970703125,164.75469970703125,0.0,0.0042672742142731476,,164.04,162.8097,0.0,,1.0,,,100k-500k
2025-07-14,RTH,Buy,,123620,1,1,07:33:04.500000,0,Sell,164.75469970703125,164.75469970703125,0.0,0.002808325165502969,,163.8,162.57150000000001,0.0,,1.0,,,100k-500k
2025-07-14,RTH,Buy,,69694,0,1,07:41:02.700000,0,Sell,164.75469970703125,164.75469970703125,0.0,0.0026256558717065713,,163.77,162.541725,0.0,,1.0,,,<100k
2025-07-14,RTH,Buy,,64082,0,1,11:54:36.500000,0,Sell,164.40330505371094,164.40330505371094,0.0,0.006060606060606061,,165.0,163.76250000000002,0.0,,1.0,,,<100k
