date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-07-11,RTH,Buy,Buy,750000,0,1,12:52:04.580000,1,Buy,313.5,313.5,1.0,0.13341612560413874,6.0,313.98,329.67900000000003,0,,40,-0.01108350850372641,,500k-1M
2025-07-14,RTH,Buy,,400000,0,1,10:29:58.597000,0,Sell,315.02398681640625,315.02398681640625,1.0,0.05561895191457782,15.0,315.36,299.592,0,,15,-0.07179096905124298,,100k-500k
2025-07-15,FirstHour,Buy,,400101,0,1,07:07:35.800000,0,Sell,314.07049560546875,314.07049560546875,1.0,0.06654127151161655,8.0,319.05,303.0975,0,,14,-0.0593950791412004,,100k-500k
2025-07-15,RTH,Sell,Buy,500000,0,1,12:07:00.341000,0,Buy,310.6600036621094,310.6600036621094,1.0,0.14697130473074865,4.0,312.51,328.1355,0,,39,-0.005919798847686845,,100k-500k
2025-07-17,RTH,Buy,Buy,1000000,1,1,12:36:32.423000,0,Buy,319.3699951171875,319.3699951171875,1.0,0.15707115156592985,3.0,318.9,334.84499999999997,0,,40,-0.0014424507952139458,,500k-1M
2025-07-18,FirstHour,Sell,Buy,820000,0,1,06:56:42.822000,0,Buy,327.07000732421875,327.07000732421875,1.0,0.2073958633044342,17.0,328.55,344.9775,0,,40,-0.09353216458919879,,500k-1M
2025-07-18,RTH,Buy,,400002,0,1,07:45:57.900000,0,Buy,327.1606140136719,327.1606140136719,1.0,0.21564694437567997,17.0,326.32,342.636,0,,40,-0.08733756029597096,,100k-500k
2025-07-18,RTH,Buy,Buy,1000000,1,1,07:38:30.019000,0,Buy,327.1606140136719,327.1606140136719,1.0,0.21367572552752592,17.0,326.85,343.19250000000005,0,,40,-0.08881747797393688,,500k-1M
2025-07-18,RTH,Buy,,400000,0,1,07:45:57.950000,0,Buy,327.1606140136719,327.1606140136719,1.0,0.21564694437567997,17.0,326.32,342.636,0,,40,-0.08733756029597096,,100k-500k
2025-07-18,RTH,Buy,Buy,750000,0,1,09:54:52.721000,0,Buy,327.57000732421875,327.57000732421875,1.0,0.2105276499501736,17.0,327.7,344.085,0,,40,-0.09118093584309198,,500k-1M
2025-07-18,RTH,Sell,Buy,700000,0,1,11:00:54.685000,0,Buy,328.8399963378906,328.8399963378906,1.0,0.2101583614663571,17.0,327.8,344.19000000000005,0,,40,-0.09145818387974759,,500k-1M
2025-07-21,RTH,Sell,Sell,500000,0,1,08:11:03.570000,1,Sell,328.72149658203125,328.72149658203125,1.0,0.09325618108016819,4.0,328.45,312.0275,0,,10,-0.023504379442028885,,100k-500k
2025-07-24,RTH,Buy,Buy,2000000,1,1,08:08:49.500000,0,Buy,301.25,301.25,1.0,0.42402447834728774,2.0,303.52,318.69599999999997,0,,40,-0.010246429684668578,,>1M
2025-07-24,RTH,Sell,,450000,0,1,10:16:26.862000,1,Buy,303.82000732421875,303.82000732421875,1.0,0.42313361320986725,2.0,303.71,318.89549999999997,0,,40,-0.005037724553747752,,100k-500k
2025-07-24,RTH,Sell,Buy,500000,0,1,11:39:43.390000,0,Buy,306.6499938964844,306.6499938964844,1.0,0.4227120133902855,2.0,303.8,318.99,0,,40,-0.0008212422916495601,,100k-500k
