id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,delayed_hit,days_to_delayed,min_hit,days_to_min,max_profit_pct,days_to_max,max_drawdown_pct
57974,2026-04-08,12:43:00,RTH,32,20-49,317.67,290.8,8.458463185066265,Bearish,0,,0,,0,,2.0807764162200604,1,28.627187128643712
57975,2026-04-08,11:48:15,RTH,16,10-19,317.86,295.87,6.9181400616623705,Bearish,0,,0,,0,,2.1393073810502305,1,28.550300557340492
57976,2026-04-08,13:56:05,AH,196,100-499,317.32,296.7,6.498172192108914,Bearish,0,,0,,0,,1.9727727345916564,1,28.769061310841582
57977,2026-04-08,05:05:12,PM,0,<10,318.58,301.47,5.370707514596006,Bearish,0,,0,,0,,2.360475372404493,1,28.259773165786466
57985,2026-04-08,05:05:12,PM,0,<10,318.58,302.85,4.937535312951209,Bearish,0,,0,,0,,2.360475372404493,1,28.259773165786466
57992,2026-04-08,08:35:24,RTH,27,20-49,316.95,307.38,3.019403691433978,Bearish,0,,0,,0,,1.858338047454248,1,28.919383294387917
57993,2026-04-08,14:17:20,AH,12,10-19,317.32,338.5,6.674650195386363,Bullish,1,6.0,0,,1,4.0,28.769061310841582,28,1.9727727345916564
58429,2026-04-13,11:58:15,RTH,8,<10,320.16,290.17,9.367191404297854,Bearish,0,,0,,0,,0.0,0,27.626807018853842
58430,2026-04-13,05:49:35,PM,40,20-49,314.8,291.29,7.468233799237608,Bearish,0,,0,,0,,0.0,0,29.79986828194488
58431,2026-04-13,12:08:48,RTH,6,<10,320.13,297.39,7.103364258270081,Bearish,0,,0,,0,,0.0,0,27.63876717319917
58435,2026-04-13,12:40:15,RTH,15,10-19,320.7,336.0,4.77081384471469,Bullish,1,2.0,0,,1,1.0,27.41190687607188,25,0.0
59050,2026-04-14,06:35:24,RTH,6,<10,325.18,297.84,8.407651147057024,Bearish,0,,0,,0,,0.0,0,25.656554939283627
59051,2026-04-14,11:40:16,RTH,39,20-49,331.8,305.46,7.938517179023517,Bearish,0,,0,,0,,0.2712495791186366,1,23.149483228319014
59052,2026-04-14,11:29:30,RTH,8,<10,331.76,306.52,7.607909332047266,Bearish,0,,0,,0,,0.2592253748238534,1,23.16433124896386
59053,2026-04-14,05:05:49,PM,4,<10,324.62,307.38,5.310824964573966,Bearish,0,,0,,0,,0.26800566816585686,0,25.873324302742436
59054,2026-04-14,08:48:55,RTH,28,20-49,331.85,307.69,7.280397770076849,Bearish,0,,0,,0,,0.286275758178589,1,23.130928236119473
59055,2026-04-14,05:30:57,PM,52,50-100,324.71,311.49,4.0713251824705035,Bearish,0,,0,,0,,0.2956484247482306,0,25.838435943322512
59056,2026-04-14,06:59:17,RTH,3,<10,326.79,317.0,2.9958077052541445,Bearish,0,,0,,0,,0.0,0,25.037481364656962
59059,2026-04-14,10:44:38,RTH,8,<10,332.82,318.49,4.305630671233695,Bearish,0,,0,,0,,0.5768902420274077,1,22.772064584929545
59223,2026-04-15,14:56:22,AH,70,50-100,337.12,251.73,25.329259610821076,Bearish,0,,0,,0,,1.6907886130356042,4,21.20609437338707
59224,2026-04-15,14:43:14,AH,12,10-19,337.12,299.99,11.013882297104887,Bearish,0,,0,,0,,1.6907886130356042,4,21.20609437338707
59225,2026-04-15,10:14:34,RTH,8,<10,334.51,302.65,9.524378942333566,Bearish,0,,0,,0,,0.9237351864714406,4,22.15179975234298
59226,2026-04-15,06:53:16,RTH,0,<10,331.81,306.18,7.724300051234138,Bearish,0,,0,,0,,0.11753309793726147,4,23.145771782514842
59227,2026-04-15,13:59:27,AH,1,<10,337.12,317.32,5.873279544375893,Bearish,0,,0,,0,,1.6907886130356042,4,21.20609437338707
59299,2026-04-16,13:41:58,AH,882,500-999,336.02,221.88,33.968216177608475,Bearish,0,,0,,0,,1.3689621368566178,3,21.602876421511375
59300,2026-04-16,13:44:24,AH,63,50-100,336.02,273.71,18.543539075055058,Bearish,0,,0,,0,,1.3689621368566178,3,21.602876421511375
59301,2026-04-16,13:44:17,AH,36,20-49,336.02,277.93,17.287661448723284,Bearish,0,,0,,0,,1.3689621368566178,3,21.602876421511375
59302,2026-04-16,11:01:39,RTH,69,50-100,335.05,301.45,10.028353977018362,Bearish,0,,0,,0,,1.0834163773364083,3,21.95492772767124
59303,2026-04-16,11:59:43,RTH,8,<10,335.05,302.85,9.610505894642587,Bearish,0,,0,,0,,1.0834163773364083,3,21.95492772767124
59304,2026-04-16,07:24:41,RTH,0,<10,336.48,306.18,9.004992867332385,Bearish,0,,0,,0,,1.5038000987475164,3,21.436633782561366
59527,2026-04-17,07:43:41,RTH,100,50-100,337.61,301.87,10.58617931933296,Bearish,0,,0,,0,,1.8334725192576162,2,21.030178416386505
59528,2026-04-17,12:18:03,RTH,51,50-100,340.84,320.02,6.108437976763289,Bearish,0,,0,,1,2.0,2.7637561824508863,2,19.883225370133356
59529,2026-04-17,12:27:33,RTH,7,<10,341.02,330.0,3.231482024514686,Bearish,0,,0,,1,2.0,2.8150802217657636,2,19.819947613501416
59585,2026-04-20,06:46:01,RTH,17,10-19,339.12,306.36,9.660297239915073,Bearish,0,,0,,0,,2.2705787250134555,1,20.491267206759407
59586,2026-04-20,12:22:05,RTH,74,50-100,338.49,317.32,6.2542468019734745,Bearish,0,,0,,0,,2.0886840297396185,1,20.715526411877008
59587,2026-04-20,12:40:09,RTH,2,<10,338.31,318.35,5.899914279802542,Bearish,0,,0,,0,,2.0365896876431755,1,20.779753880039756
59588,2026-04-20,12:22:24,RTH,3,<10,338.49,318.59,5.879051079795572,Bearish,0,,0,,0,,2.0886840297396185,1,20.715526411877008
59631,2026-04-21,11:34:56,RTH,26,20-49,332.99,307.13,7.76599897894832,Bearish,0,,0,,0,,0.4714815977253473,0,22.709386273330274
59632,2026-04-21,09:13:46,RTH,56,50-100,336.64,307.99,8.510575095057028,Bearish,0,,0,,0,,1.5506138819705357,0,21.378916751295897
59633,2026-04-21,11:14:06,RTH,23,20-49,333.22,317.65,4.672588680151266,Bearish,0,,0,,0,,0.5401796327548323,0,22.62468799938853
59634,2026-04-21,12:24:03,RTH,34,20-49,333.7,319.66,4.207371890919977,Bearish,0,,0,,0,,0.6832444028365638,0,22.44830247274873
59635,2026-04-21,12:17:02,RTH,18,10-19,333.66,320.74,3.872205238865916,Bearish,0,,0,,0,,0.6713380603805221,0,22.462981883223183
59680,2026-04-22,12:04:39,RTH,25,20-49,337.91,302.06,10.609333846290438,Bearish,0,,0,,0,,0.952915734542859,45,20.922726569667212
59681,2026-04-22,08:20:53,RTH,17,10-19,337.9,302.85,10.372891387984598,Bearish,0,,0,,0,,0.9499844801993865,45,20.92630522390131
59683,2026-04-22,14:03:25,AH,40,20-49,339.32,354.42,4.450076623835915,Bullish,1,5.0,0,,1,3.0,20.420247952246406,18,1.1581944334440921
59742,2026-04-23,12:50:24,RTH,137,100-499,339.3,299.99,11.585617447686413,Bearish,0,,0,,0,,1.3586789149996348,44,20.42734611009799
59743,2026-04-23,10:38:40,RTH,24,20-49,338.38,302.28,10.668479224540464,Bearish,0,,0,,0,,1.0904892601790135,44,20.75476841171538
59744,2026-04-23,10:21:47,RTH,5,<10,339.09,303.55,10.480993246630678,Bearish,0,,0,,0,,1.2975898901747989,44,20.501927320641283
59745,2026-04-23,10:45:23,RTH,2,<10,338.14,305.56,9.635062400189266,Bearish,0,,0,,0,,1.0202867328898493,44,20.84047594237964
59746,2026-04-23,13:20:11,AH,60,50-100,338.89,320.99,5.281949895246239,Bearish,0,,0,,0,,1.2393394784719929,44,20.57304297900868
59747,2026-04-23,11:56:53,RTH,2,<10,340.15,330.0,2.98397765691606,Bearish,0,,0,,0,,1.6051734701142812,44,20.12641051052845
59821,2026-04-24,09:47:25,RTH,30,20-49,343.45,305.46,11.061289852962588,Bearish,0,,0,,0,,2.550588894626216,43,18.972189649603294
59822,2026-04-24,07:35:36,RTH,0,<10,338.68,306.18,9.596078894531711,Bearish,0,,0,,0,,1.1781025034232184,43,20.647804816216635
59823,2026-04-24,13:41:06,AH,380,100-499,344.4,326.03,5.33391405342625,Bearish,0,,0,,0,,2.81939534221653,43,18.64401432972199
60468,2026-04-29,08:40:42,RTH,1,<10,352.37,317.32,9.946930782983799,Bearish,0,,0,,0,,5.017452552315394,40,15.960491912354199
60469,2026-04-29,07:44:43,RTH,25,20-49,354.96,332.29,6.386635113815629,Bearish,0,,0,,0,,5.71050190404376,40,15.114374958181914
60470,2026-04-29,09:44:43,RTH,72,50-100,348.35,337.42,3.1376489163197947,Bearish,0,,1,39.0,0,,3.9213427755400523,40,17.298689637308016
60471,2026-04-29,11:56:28,RTH,14,10-19,349.97,339.32,3.0431179815412843,Bearish,0,,1,37.0,0,,4.366087824268873,40,16.755717733394995
60644,2026-04-29,13:14:27,AH,25228,>=5000,349.94,361.35,3.2605589529633723,Bullish,1,1.0,0,,1,1.0,16.765727082231955,13,0.0
60778,2026-04-29,13:14:00,AH,9640,>=5000,349.94,362.77,3.6663428016231308,Bullish,1,1.0,0,,1,1.0,16.765727082231955,13,0.0
60873,2026-04-29,13:04:04,AH,3896,2000-4999,349.94,366.69,4.7865348345430645,Bullish,1,1.0,0,,1,1.0,16.765727082231955,13,0.0
61128,2026-04-30,10:33:23,RTH,1,<10,383.42,338.27,11.7755985603255,Bearish,0,,1,38.0,0,,12.709299869227939,39,6.569815176976287
61129,2026-04-30,05:05:12,PM,1,<10,376.26,349.12,7.213097326316905,Bearish,0,,1,29.0,1,0.0,11.04821069435862,39,8.597774238973718
61131,2026-04-30,05:58:22,PM,27,20-49,375.19,351.58,6.292811642101339,Bearish,0,,1,29.0,0,,10.794530120364016,39,8.907482969045684
61133,2026-04-30,05:05:12,PM,1,<10,376.26,352.4,6.341359698081119,Bearish,0,,1,29.0,1,0.0,11.04821069435862,39,8.597774238973718
61277,2026-05-01,05:45:51,PM,15,10-19,384.19,305.46,20.49246466592051,Bearish,0,,0,,1,20.0,12.884249345009954,38,6.3562261775586295
61278,2026-05-01,05:21:10,PM,21,20-49,383.88,317.24,17.35959153902261,Bearish,0,,0,,0,,12.813899541157067,38,6.442113512442041
61279,2026-05-01,05:59:19,PM,86,50-100,384.14,318.36,17.123965221013165,Bearish,0,,0,,1,20.0,12.872910282343348,38,6.370069597428675
61280,2026-05-01,09:02:26,RTH,360,100-499,384.16,332.87,13.351207830070807,Bearish,0,,0,,1,20.0,12.877446261608124,38,6.364531797053955
61281,2026-05-01,05:05:12,PM,0,<10,383.22,367.82,4.018579406085286,Bearish,0,,1,21.0,0,,12.663743426385308,38,6.6254332632854425
63511,2026-05-04,08:14:41,RTH,40,20-49,382.23,345.25,9.6748031290061,Bearish,0,,1,33.0,1,20.0,12.437536969519337,37,6.901599914073328
63512,2026-05-04,10:59:30,RTH,8,<10,384.68,338.27,12.064573151710519,Bearish,0,,1,36.0,1,19.0,12.995216168917997,37,6.220751105220571
63551,2026-05-05,11:39:10,RTH,15,10-19,386.03,353.77,8.356863456208066,Bearish,0,,1,26.0,1,18.0,13.299483863584108,36,5.849282530259961
63552,2026-05-05,11:12:11,RTH,12,10-19,386.23,349.99,9.383010123501542,Bearish,0,,1,26.0,1,18.0,13.344379659424115,36,5.7944710021392645
63620,2026-05-06,05:42:38,PM,37,20-49,395.3,290.16,26.59752087022514,Bearish,0,,0,,1,4.0,15.33265812258886,35,3.3670592844833007
63622,2026-05-06,09:30:22,RTH,1,<10,398.97,353.07,11.504624407850223,Bearish,0,,1,25.0,1,4.0,16.111486467301745,35,2.4162180994968225
63682,2026-05-07,13:45:50,AH,96,50-100,397.99,371.54,6.645895625518226,Bearish,1,17.0,0,,1,3.0,15.904921620792924,34,2.6684050733843794
63684,2026-05-07,14:01:10,AH,40,20-49,397.99,417.77,4.969974119952756,Bullish,0,,0,,0,,2.6684050733843794,7,15.904921620792924
63732,2026-05-08,13:54:43,AH,68,50-100,400.71,375.96,6.176536647450775,Bearish,1,15.0,0,,1,1.0,16.475754924657167,33,1.971496930838392
