id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,delayed_hit,days_to_delayed,min_hit,days_to_min,max_profit_pct,days_to_max,max_drawdown_pct
8939,2025-10-20,11:57:43,RTH,28,20-49,612.11,596.81,2.4995507343451453,Bearish,1,19.0,0,,0,,9.232004772681792,110,4.067897888553525
8940,2025-10-20,11:56:50,RTH,19,10-19,612.11,600.28,1.9326591625688259,Bearish,1,2.0,0,,0,,9.232004772681792,110,0.09986987250044704
9074,2025-10-21,10:00:54,RTH,11,10-19,611.22,563.79,7.759890055953676,Bearish,0,,1,108.0,1,20.0,9.099837114960657,109,4.219431590200742
9075,2025-10-21,07:39:18,RTH,55,50-100,610.67,576.06,5.667545482830336,Bearish,0,,1,107.0,1,20.0,9.017967873657206,109,4.3132968322703
9076,2025-10-21,12:41:56,RTH,33,20-49,611.77,593.45,2.994589469898808,Bearish,1,20.0,0,,1,20.0,9.18155915034449,109,4.125735123596289
9729,2025-10-24,06:08:58,PM,1,<10,616.1,575.25,6.630417140074667,Bearish,0,,1,104.0,1,15.0,9.819838405139185,106,3.3939311419615286
9730,2025-10-24,12:56:54,RTH,28,20-49,617.45,602.75,2.380759575674151,Bearish,1,10.0,0,,1,10.0,10.01700937955503,106,3.1678694251558754
9731,2025-10-24,06:08:59,PM,1,<10,616.1,605.35,1.744846615809122,Bearish,1,10.0,0,,1,15.0,9.819838405139185,106,3.3939311419615286
9941,2025-10-27,07:17:45,RTH,1,<10,625.45,603.66,3.4838915980494165,Bearish,1,9.0,0,,1,9.0,11.167962972909512,105,1.8482708075185792
9942,2025-10-27,08:50:31,RTH,1,<10,626.67,604.92,3.4707262195413855,Bearish,1,9.0,0,,1,9.0,11.340901018727953,105,1.6499927817870716
9943,2025-10-27,07:17:45,RTH,1,<10,625.45,611.46,2.236789511551684,Bearish,1,8.0,0,,1,9.0,11.167962972909512,105,1.8482708075185792
9944,2025-10-27,09:08:03,RTH,3,<10,626.76,616.0,1.716765588103898,Bearish,1,8.0,0,,1,9.0,11.353632078317457,105,1.635396286557057
10499,2025-10-28,11:24:34,RTH,20,20-49,633.42,611.97,3.38637870607179,Bearish,1,7.0,0,,1,7.0,12.285691076073137,104,0.5667660897390422
10501,2025-10-28,09:16:35,RTH,3,<10,630.93,617.12,2.1888323585817675,Bearish,1,6.0,0,,1,7.0,11.939521724131435,104,0.9636583718677271
10502,2025-10-28,08:09:36,RTH,41,20-49,630.21,618.0,1.9374494216213698,Bearish,1,5.0,0,,1,7.0,11.838914713200763,104,1.0790069604774541
10503,2025-10-28,12:36:38,RTH,3,<10,634.38,624.62,1.5385100413001656,Bearish,1,5.0,0,,1,7.0,12.418428136773306,104,0.4145795525749558
12465,2025-10-30,10:19:44,RTH,1,<10,629.66,617.7,1.899437791824147,Bearish,1,4.0,0,,1,5.0,11.76190712671322,102,0.9783069155129406
12466,2025-10-30,07:40:54,RTH,1,<10,630.13,620.62,1.5092123847460033,Bearish,1,3.0,0,,1,5.0,11.827721964366479,102,0.902989434595838
13072,2025-11-03,06:41:41,RTH,10,10-19,633.67,617.1,2.614925749996045,Bearish,1,2.0,0,,1,3.0,12.320296749737633,100,0.0
13136,2025-11-04,12:34:14,RTH,1,<10,619.97,608.51,1.8484765391873856,Bearish,1,3.0,0,,1,3.0,10.38276439409367,99,1.0694026462469914
13138,2025-11-04,07:54:35,RTH,78,50-100,624.8,635.14,1.6549295774647939,Bullish,0,,1,57.0,0,,4.0332906530089705,112,7.051858157110269
14291,2025-11-07,07:08:34,RTH,2,<10,603.18,617.84,2.4304519380616205,Bullish,1,1.0,0,,1,1.0,7.7621937066878965,109,0.7477066696249378
14292,2025-11-07,05:43:37,PM,1,<10,607.54,618.87,1.8648977845080228,Bullish,1,1.0,0,,1,19.0,6.988840240971794,109,1.4599889867076594
14293,2025-11-07,15:12:10,AH,1,<10,609.74,622.47,2.0877751172630985,Bullish,1,1.0,0,,1,19.0,6.602814314297896,109,0.0
14710,2025-11-11,13:22:02,AH,20,20-49,621.57,554.2,10.838682690606046,Bearish,0,,0,,1,3.0,10.613450522718686,94,4.573901571826173
14711,2025-11-11,13:22:05,AH,4,<10,621.57,572.85,7.838216130122114,Bearish,0,,1,93.0,1,3.0,10.613450522718686,94,2.4164658615230303
14712,2025-11-11,13:22:08,AH,3,<10,621.57,580.7,6.5752851649854405,Bearish,1,8.0,0,,1,3.0,10.613450522718686,94,0.5260914869554032
14713,2025-11-11,13:22:11,AH,3,<10,621.57,589.5,5.159515420628416,Bearish,1,7.0,0,,1,3.0,10.613450522718686,94,0.5260914869554032
