id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,delayed_hit,days_to_delayed,min_hit,days_to_min,max_profit_pct,days_to_max,max_drawdown_pct
9073,2025-10-21,06:11:38,PM,1,<10,671.18,660.49,1.5927173038529072,Bearish,1,20.0,0,,0,,6.242732307745307,109,2.75932122635229
9583,2025-10-22,13:52:15,AH,20,20-49,667.86,652.85,2.247477016141106,Bearish,0,,1,21.0,0,,5.776655392316505,108,3.2701482656591554
9602,2025-10-23,06:30:59,RTH,1,<10,668.1,629.09,5.838946265529111,Bearish,0,,1,107.0,0,,5.8105030239672235,107,4.451433446410526
9939,2025-10-27,12:27:56,RTH,3,<10,684.19,639.68,6.505502857393429,Bearish,0,,1,104.0,1,9.0,8.025544176782041,105,1.9950637769433484
9940,2025-10-27,13:05:01,AH,836,500-999,685.18,668.04,2.5015324440293045,Bearish,1,9.0,0,,1,9.0,8.158435842132718,105,0.6596824494339152
10497,2025-10-28,12:10:56,RTH,9,<10,688.22,663.04,3.6587137833832295,Bearish,1,8.0,0,,1,8.0,8.564117680846971,104,0.21504928758699582
10498,2025-10-28,09:16:26,RTH,1,<10,685.86,676.03,1.433237103782119,Bearish,1,5.0,0,,1,8.0,8.249492710338117,104,0.5598828050959723
10541,2025-10-29,13:55:49,AH,40,20-49,687.28,670.29,2.472063787684788,Bearish,1,6.0,0,,1,7.0,8.439059874159728,103,0.0
13071,2025-11-03,09:13:17,RTH,58,50-100,683.48,671.81,1.7074384034646328,Bearish,1,3.0,0,,1,4.0,7.930000980734625,100,0.10972968759144112
13135,2025-11-04,06:30:31,RTH,1,<10,676.15,647.49,4.238704429490493,Bearish,0,,1,93.0,1,10.0,6.931889477649188,99,3.2078720484313794
14410,2025-11-10,14:06:39,AH,380,100-499,681.43,635.68,6.713822402888045,Bearish,0,,1,94.0,1,6.0,7.653019488887333,95,2.4081749930981613
14709,2025-11-11,10:09:07,RTH,1,<10,682.41,667.08,2.2464500813293955,Bearish,1,3.0,0,,1,4.0,7.785637769541035,94,0.3736788693976176
