id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,delayed_hit,days_to_delayed,min_hit,days_to_min,max_profit_pct,days_to_max,max_drawdown_pct
56682,2026-04-06,10:04:10,RTH,1,<10,348.74,361.7,3.716235590984682,Bullish,1,2.0,0,,1,2.0,30.01089461962619,27,3.2947181281183715
56683,2026-04-06,10:06:00,RTH,0,<10,348.59,362.09,3.8727444849249837,Bullish,1,2.0,0,,1,2.0,30.066838950194903,27,3.2531053673369796
56859,2026-04-07,14:07:18,AH,15,10-19,346.65,359.12,3.5972883311697763,Bullish,1,1.0,0,,1,1.0,30.79474798686987,26,0.0
56860,2026-04-07,11:52:43,RTH,2,<10,340.82,359.46,5.469162607828175,Bullish,1,1.0,0,,1,1.0,33.032097264387176,26,0.0
56861,2026-04-07,09:19:34,RTH,150,100-499,340.8,362.59,6.393779342722993,Bullish,1,1.0,0,,1,1.0,33.039904312348696,26,0.47535426180127976
56862,2026-04-07,14:06:59,AH,15,10-19,346.65,363.4,4.8319630751478435,Bullish,1,1.0,0,,1,1.0,30.79474798686987,26,0.0
56863,2026-04-07,06:25:35,PM,0,<10,348.03,368.38,5.84719708071144,Bullish,1,5.0,0,,1,1.0,30.276123867621873,26,3.0974341292417247
57536,2026-04-08,13:41:30,AH,426,100-499,343.25,323.67,5.70429715950473,Bearish,0,,0,,0,,1.7479970866715222,1,32.090311404656774
57538,2026-04-08,14:21:18,AH,4,<10,343.25,326.29,4.94100509832483,Bearish,0,,0,,0,,1.7479970866715222,1,32.090311404656774
57540,2026-04-08,13:42:00,AH,432,100-499,343.25,330.16,3.8135469774216975,Bearish,0,,0,,0,,1.7479970866715222,1,32.090311404656774
57541,2026-04-08,13:45:14,AH,918,500-999,343.25,332.86,3.0269482884195154,Bearish,0,,0,,0,,1.7479970866715222,1,32.090311404656774
57789,2026-04-08,13:54:52,AH,650,500-999,343.25,359.41,4.707938820101973,Bullish,1,4.0,0,,1,3.0,32.090311404656774,25,1.7479970866715222
57791,2026-04-08,13:57:53,AH,28,20-49,343.25,361.71,5.378004369992711,Bullish,1,4.0,0,,1,3.0,32.090311404656774,25,1.7479970866715222
57792,2026-04-08,08:44:37,RTH,20,20-49,345.33,363.75,5.334028320736691,Bullish,1,4.0,0,,1,3.0,31.29470184938592,25,2.33979092462282
57794,2026-04-08,14:08:20,AH,390,100-499,343.25,365.42,6.45884923525128,Bullish,1,4.0,0,,1,3.0,32.090311404656774,25,1.7479970866715222
57795,2026-04-08,13:52:05,AH,126,100-499,343.25,366.2,6.68608885651857,Bullish,1,4.0,0,,1,3.0,32.090311404656774,25,1.7479970866715222
57796,2026-04-08,13:11:05,AH,9,<10,343.25,378.69,10.324836125273123,Bullish,1,5.0,0,,1,3.0,32.090311404656774,25,1.7479970866715222
58069,2026-04-09,14:10:38,AH,270,100-499,345.58,356.94,3.2872272700966527,Bullish,1,2.0,0,,1,2.0,31.19972043998044,24,0.8218096433893698
58071,2026-04-09,14:18:34,AH,172,100-499,345.58,359.72,4.091671971757638,Bullish,1,3.0,0,,1,2.0,31.19972043998044,24,0.8218096433893698
58072,2026-04-09,15:05:31,AH,72,50-100,345.58,360.62,4.352103709705428,Bullish,1,3.0,0,,1,2.0,31.19972043998044,24,0.8218096433893698
58073,2026-04-09,14:07:19,AH,44,20-49,345.58,369.29,6.8609294519358865,Bullish,1,4.0,0,,1,2.0,31.19972043998044,24,0.8218096433893698
58074,2026-04-09,09:55:33,RTH,5,<10,346.89,378.69,9.167171149355708,Bullish,1,4.0,0,,1,2.0,30.70425607439949,24,1.1963474777667233
58101,2026-04-10,14:18:40,AH,234,100-499,349.0,324.37,7.057306590257878,Bearish,0,,0,,0,,0.12320707042442693,1,29.914038365754834
58103,2026-04-10,14:32:22,AH,110,100-499,349.0,326.11,6.5587392550143235,Bearish,0,,0,,0,,0.12320707042442693,1,29.914038365754834
58104,2026-04-10,13:46:59,AH,704,500-999,349.0,328.22,5.954154727793688,Bearish,0,,0,,0,,0.12320707042442693,1,29.914038365754834
58105,2026-04-10,14:29:44,AH,364,100-499,349.0,338.13,3.114613180515761,Bearish,0,,0,,0,,0.12320707042442693,1,29.914038365754834
58107,2026-04-10,15:18:48,AH,225,100-499,349.0,359.69,3.063037249283667,Bullish,1,2.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58108,2026-04-10,14:18:48,AH,3840,2000-4999,349.0,362.83,3.9627507163323736,Bullish,1,2.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58111,2026-04-10,14:42:53,AH,3905,2000-4999,349.0,368.51,5.590257879656158,Bullish,1,2.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58113,2026-04-10,14:34:52,AH,204,100-499,349.0,370.21,6.077363896848132,Bullish,1,3.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58114,2026-04-10,10:31:31,RTH,2,<10,343.91,371.75,8.095141170655106,Bullish,1,3.0,0,,1,1.0,31.836815997349404,23,0.0
58115,2026-04-10,14:17:42,AH,140,100-499,349.0,375.37,7.555873925501435,Bullish,1,3.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58116,2026-04-10,12:08:03,RTH,11,10-19,346.26,385.95,11.462484837983018,Bullish,1,3.0,0,,1,1.0,30.94206489241737,23,0.08952457487689623
58117,2026-04-10,14:16:04,AH,135,100-499,349.0,425.63,21.95702005730659,Bullish,1,20.0,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58118,2026-04-10,14:18:08,AH,44,20-49,349.0,439.58,25.954154727793693,Bullish,0,,1,21.0,1,2.0,29.914038365754834,23,0.12320707042442693
58119,2026-04-10,14:24:33,AH,27,20-49,349.0,460.31,31.893982808022926,Bullish,0,,0,,1,2.0,29.914038365754834,23,0.12320707042442693
58165,2026-04-13,13:54:25,AH,54,50-100,352.42,340.92,3.263151921003348,Bearish,0,,0,,0,,0.0,0,28.653309657932112
58205,2026-04-13,12:09:46,RTH,1,<10,351.2,363.77,3.579157175398631,Bullish,1,1.0,0,,1,1.0,29.100226052529727,22,0.15090733834442302
58206,2026-04-13,13:57:07,AH,96,50-100,352.42,364.67,3.475966176720958,Bullish,1,1.0,0,,1,1.0,28.653309657932112,22,0.0
58207,2026-04-13,14:17:16,AH,240,100-499,352.42,369.66,4.8918903580954565,Bullish,1,2.0,0,,1,1.0,28.653309657932112,22,0.0
58208,2026-04-13,13:47:53,AH,528,500-999,352.42,370.76,5.2040179331479415,Bullish,1,2.0,0,,1,1.0,28.653309657932112,22,0.0
58210,2026-04-13,12:09:28,RTH,6,<10,351.2,381.26,8.559225512528474,Bullish,1,2.0,0,,1,1.0,29.100226052529727,22,0.15090733834442302
58211,2026-04-13,05:47:55,PM,5,<10,347.89,390.02,12.110149759981601,Bullish,1,2.0,0,,1,1.0,30.32855037410802,22,0.0
58461,2026-04-14,13:53:50,AH,36,20-49,364.16,341.8,6.140158172231989,Bearish,0,,0,,0,,0.4558435852372652,1,24.505710098990647
58462,2026-04-14,14:33:57,AH,549,500-999,364.16,346.47,4.8577548330404206,Bearish,0,,0,,0,,0.4558435852372652,1,24.505710098990647
58465,2026-04-14,14:01:39,AH,3900,2000-4999,364.16,350.68,3.701669595782078,Bearish,0,,0,,0,,0.4558435852372652,1,24.505710098990647
58467,2026-04-14,13:47:17,AH,180,100-499,364.16,379.44,4.195957820738129,Bullish,1,1.0,0,,1,1.0,24.505710098990647,21,0.4558435852372652
58468,2026-04-14,16:42:13,AH,252,100-499,364.16,382.98,5.168057996485059,Bullish,1,1.0,0,,1,1.0,24.505710098990647,21,0.4558435852372652
58470,2026-04-14,14:32:39,AH,4,<10,364.16,385.95,5.983633567662555,Bullish,1,1.0,0,,1,1.0,24.505710098990647,21,0.4558435852372652
58471,2026-04-14,13:57:49,AH,468,100-499,364.16,388.32,6.63444639718804,Bullish,1,1.0,0,,1,1.0,24.505710098990647,21,0.4558435852372652
58473,2026-04-14,05:49:09,PM,21,20-49,358.49,399.83,11.531702418477495,Bullish,1,3.0,0,,1,1.0,26.47493483681117,21,1.0376889135898169
