id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,delayed_hit,days_to_delayed,min_hit,days_to_min,max_profit_pct,days_to_max,max_drawdown_pct
58436,2026-04-13,12:12:59,RTH,4,<10,370.93,327.0,11.843204917369855,Bearish,0,,0,,1,3.0,2.798374951346954,3,29.13487720054997
58437,2026-04-13,11:57:49,RTH,4,<10,370.79,340.85,8.074651419941206,Bearish,0,,0,,1,3.0,2.7616743188951345,3,29.183634941611146
58438,2026-04-13,12:16:39,RTH,17,10-19,371.05,341.49,7.9665813232717975,Bearish,0,,0,,1,3.0,2.829810593459442,3,29.093114135561244
58439,2026-04-13,12:46:08,RTH,15,10-19,369.81,342.07,7.5011492387983045,Bearish,0,,0,,0,,2.5039918355456185,3,29.52597279684162
58440,2026-04-13,14:33:54,AH,52,50-100,369.71,345.83,6.459116604906548,Bearish,0,,0,,0,,2.477620893952349,3,29.56100727597307
58441,2026-04-13,05:48:56,PM,15,10-19,368.8,347.31,5.827006507592193,Bearish,0,,0,,0,,2.2369881255507758,3,29.880694143167023
58442,2026-04-13,14:30:16,AH,39,20-49,369.71,353.21,4.462957453138947,Bearish,0,,0,,0,,2.477620893952349,3,29.56100727597307
58445,2026-04-13,14:35:28,AH,240,100-499,369.71,389.38,5.3203862486814035,Bullish,1,8.0,0,,1,1.0,29.56100727597307,54,2.477620893952349
58446,2026-04-13,13:58:33,AH,63,50-100,369.71,394.38,6.672797598117448,Bullish,1,9.0,0,,1,1.0,29.56100727597307,54,2.477620893952349
59067,2026-04-14,08:48:56,RTH,14,10-19,378.81,339.57,10.358755048705158,Bearish,0,,0,,1,2.0,4.82036171353218,2,26.448615400860586
59068,2026-04-14,06:39:58,RTH,3,<10,375.27,341.87,8.900258480560657,Bearish,0,,0,,1,2.0,3.92251237962833,2,27.641431502651432
59230,2026-04-15,10:15:10,RTH,7,<10,374.77,360.32,3.8556981615390744,Bearish,1,1.0,0,,1,1.0,3.7943304445476516,1,0.5683469585304035
59231,2026-04-15,06:55:41,RTH,0,<10,378.56,364.49,3.716715976331359,Bearish,1,1.0,0,,1,1.0,4.757505337867512,1,0.7237922107377291
59307,2026-04-16,09:29:38,RTH,11,10-19,364.78,326.5,10.493996381380551,Bearish,0,,0,,0,,1.1596063948218716,0,31.312023685509082
59308,2026-04-16,14:29:36,AH,9,<10,363.25,345.32,4.9359944941500355,Bearish,0,,0,,0,,0.0,0,31.865106675843087
59309,2026-04-16,11:38:05,RTH,43,20-49,361.68,348.85,3.547334660473342,Bearish,0,,0,,0,,0.0,0,32.43751382437514
59491,2026-04-16,14:41:56,AH,400,100-499,363.25,384.25,5.78114246386786,Bullish,1,4.0,0,,1,1.0,31.865106675843087,51,0.0
59637,2026-04-21,06:58:58,RTH,0,<10,368.98,386.56,4.764485879993491,Bullish,1,1.0,0,,1,1.0,29.817334272860315,48,1.04884130533837
59684,2026-04-22,09:04:59,RTH,8,<10,377.65,343.33,9.087779690189327,Bearish,0,,0,,0,,0.48722426622698994,1,26.83701840328347
59685,2026-04-22,09:41:33,RTH,0,<10,379.81,344.3,9.349411547879201,Bearish,0,,0,,0,,1.0531588008231094,1,26.115689423659198
59686,2026-04-22,10:14:06,RTH,6,<10,380.34,347.75,8.568649103433764,Bearish,0,,0,,0,,1.1910402380518024,1,25.939948467160967
59749,2026-04-23,13:40:58,AH,18,10-19,382.6,371.21,2.9769994772608577,Bearish,0,,0,,0,,0.0,0,25.19602718243596
59827,2026-04-24,09:47:16,RTH,8,<10,407.64,345.32,15.287999214993619,Bearish,0,,0,,1,2.0,5.6275114789934095,2,17.50564223334315
59829,2026-04-24,05:01:48,PM,300,100-499,396.52,383.62,3.2533037425602687,Bearish,0,,0,,1,2.0,2.9809310483629408,2,20.800968425300116
59836,2026-04-27,05:05:16,PM,0,<10,416.3,399.0,4.155656978140766,Bearish,1,1.0,0,,1,0.0,7.590676865954543,1,0.0
59837,2026-04-27,05:05:16,PM,1,<10,416.3,400.27,3.8505885178957553,Bearish,1,0.0,0,,1,0.0,7.590676865954543,1,0.0
59913,2026-04-27,05:03:32,PM,500,500-999,416.35,403.47,3.093551098835113,Bearish,1,0.0,0,,1,0.0,7.601774418870846,1,0.0
60893,2026-04-29,13:19:04,AH,12,10-19,393.83,345.32,12.317497397354186,Bearish,0,,0,,0,,2.2268497680233184,14,21.626082319782654
60894,2026-04-29,09:48:48,RTH,35,20-49,391.02,366.24,6.337271750805579,Bearish,0,,0,,0,,1.524219334409041,14,22.500127870697156
60895,2026-04-29,07:45:20,RTH,17,10-19,394.74,368.08,6.753812636165583,Bearish,0,,0,,0,,2.4522476671749147,14,21.345695901099454
60896,2026-04-29,11:43:39,RTH,10,10-19,392.2,370.15,5.622131565527795,Bearish,0,,0,,0,,1.8205003675181641,14,22.131565527791945
60908,2026-04-29,04:13:15,PM,7370,>=5000,393.52,406.78,3.369587314494814,Bullish,1,3.0,0,,1,3.0,21.721894694043513,42,1.9846535233080547
61136,2026-04-30,10:33:10,RTH,1,<10,394.69,367.27,6.9472244039626085,Bearish,0,,0,,0,,2.4398901521209675,13,21.361068180090705
61137,2026-04-30,14:11:50,AH,186,100-499,396.06,373.11,5.794576579306162,Bearish,0,,0,,1,13.0,2.7773575825395778,13,20.941271524516488
61140,2026-04-30,13:47:08,AH,80,50-100,396.06,410.92,3.7519567742261306,Bullish,1,4.0,0,,1,2.0,20.941271524516488,41,0.9922726650475944
61286,2026-05-01,11:59:29,RTH,21,20-49,398.12,341.76,14.15653571787401,Bearish,0,,0,,1,7.0,3.280418577666597,12,20.315482769014366
61287,2026-05-01,11:16:00,RTH,1,<10,399.68,345.32,13.600880704563654,Bearish,0,,0,,1,7.0,3.6579269519130944,12,19.845876701361085
61288,2026-05-01,05:21:38,PM,10,10-19,393.88,370.6,5.91042957245861,Bearish,0,,0,,0,,2.239261308369617,12,21.610642835381334
63523,2026-05-04,11:19:53,RTH,48,20-49,399.93,369.57,7.591328482484439,Bearish,0,,0,,1,6.0,3.718151286826759,11,19.770959917985646
63524,2026-05-04,10:57:15,RTH,1,<10,401.0,367.27,8.411471321695766,Bearish,0,,0,,1,6.0,3.97506295296914,11,19.45137157107232
63574,2026-05-05,07:15:41,RTH,1,<10,399.61,345.32,13.585746102449894,Bearish,0,,0,,1,5.0,3.6410506347204183,10,19.86687019844348
63575,2026-05-05,07:15:07,RTH,13,10-19,399.61,341.49,14.54418057606166,Bearish,0,,0,,1,5.0,3.6410506347204183,10,19.86687019844348
63644,2026-05-06,06:58:24,RTH,55,50-100,413.1,400.68,3.006535947712422,Bearish,1,2.0,0,,1,2.0,6.787703326411589,9,1.6702977487291155
63645,2026-05-06,08:58:41,RTH,21,20-49,415.29,361.91,12.853668520792697,Bearish,0,,0,,1,2.0,7.279251232008059,9,15.341086951287048
63646,2026-05-06,08:10:02,RTH,2,<10,415.88,368.08,11.493700105799753,Bearish,0,,0,,1,2.0,7.410792161538484,9,15.177455035106282
63647,2026-05-06,10:48:51,RTH,6,<10,416.49,402.4,3.383034406588401,Bearish,1,2.0,0,,1,2.0,7.5464002596475925,9,0.8427573291075394
63648,2026-05-06,11:17:40,RTH,11,10-19,416.52,374.0,10.208393354460767,Bearish,0,,0,,1,2.0,7.553059262798001,9,15.0004801690195
63649,2026-05-06,09:41:47,RTH,1,<10,416.64,403.63,3.122599846390167,Bearish,1,2.0,0,,1,2.0,7.5796856858213895,9,0.8064516129032291
63696,2026-05-07,12:29:21,RTH,4,<10,412.16,382.66,7.157414596273291,Bearish,0,,0,,1,2.0,6.575117051971631,8,16.217003105590056
63699,2026-05-07,14:07:05,AH,40,20-49,414.15,427.36,3.1896655801038363,Bullish,1,13.0,0,,1,13.0,15.658577809972238,36,7.024025701172578
63841,2026-05-11,13:28:15,AH,4,<10,404.27,385.57,4.625621490587971,Bearish,1,1.0,0,,1,1.0,4.751775407872519,6,0.0
63842,2026-05-11,10:56:51,RTH,16,10-19,405.24,345.32,14.786299476853227,Bearish,0,,0,,1,1.0,4.979765679944294,6,18.201559569637745
63843,2026-05-11,06:20:15,PM,8,<10,405.59,365.49,9.886831529376948,Bearish,0,,0,,1,1.0,5.06176247969778,6,18.099558667620016
63931,2026-05-12,11:11:36,RTH,17,10-19,393.45,365.49,7.106366755623326,Bearish,0,,0,,0,,2.1324189710017127,5,21.743550641758805
63932,2026-05-12,07:48:48,RTH,1,<10,394.32,379.89,3.6594643944004885,Bearish,0,,0,,0,,2.348347139735809,5,21.474944207750053
63933,2026-05-12,12:11:11,RTH,1,<10,395.11,341.76,13.502568904861942,Bearish,0,,0,,0,,2.543596072335872,5,21.232061957429572
63937,2026-05-12,13:43:27,AH,22,20-49,397.27,414.41,4.314446094595626,Bullish,1,2.0,0,,1,2.0,20.57291011151107,33,1.459963948774601
64007,2026-05-13,05:05:18,PM,0,<10,400.96,388.68,3.0626496408619244,Bearish,1,4.0,0,,1,4.0,3.965483450071386,4,5.239924486408406
64080,2026-05-14,07:01:41,RTH,7,<10,412.66,398.27,3.4871322638491837,Bearish,1,1.0,0,,1,1.0,6.688315427084349,3,2.2560949015419713
64129,2026-05-15,05:06:08,PM,200,100-499,405.93,418.76,3.1606434606951903,Bullish,1,7.0,0,,1,7.0,18.000640504520483,30,5.141281117780468
64253,2026-05-20,09:45:51,RTH,8,<10,400.47,469.81,17.314655280045937,Bullish,0,,1,21.0,1,3.0,19.60945888580917,27,0.24096564466440112
64255,2026-05-20,11:24:04,RTH,34,20-49,401.68,414.15,3.1044612626966663,Bullish,1,3.0,0,,1,3.0,19.24915355506871,27,0.5414745860355276
64256,2026-05-20,11:12:33,RTH,2,<10,401.88,417.72,3.9414750671842422,Bullish,1,4.0,0,,1,3.0,19.189807902856575,27,0.5909712145883088
64314,2026-05-21,13:47:46,AH,40,20-49,407.07,427.36,4.98440071732135,Bullish,1,3.0,0,,1,3.0,17.6701795759943,26,1.0342237572008484
64434,2026-05-26,14:02:34,AH,133,100-499,412.46,394.38,4.38345536536876,Bearish,0,,0,,0,,1.685009512286035,10,16.132473451971105
64435,2026-05-26,12:04:36,RTH,2,<10,412.86,395.95,4.095819406094082,Bearish,0,,0,,0,,1.780262131079546,10,16.01995833938865
64436,2026-05-26,13:54:17,AH,30,20-49,412.46,441.54,7.05038064297145,Bullish,1,4.0,0,,1,1.0,16.132473451971105,24,0.0
64492,2026-05-27,08:26:35,RTH,7,<10,417.21,392.91,5.824404975911401,Bearish,0,,0,,1,9.0,2.804340795852204,9,14.81028738524964
64493,2026-05-27,12:26:38,RTH,1,<10,423.37,407.15,3.8311642298698603,Bearish,1,9.0,0,,1,9.0,4.218529946471173,9,6.145927828716606
64495,2026-05-27,05:05:19,PM,0,<10,432.82,413.44,4.477611940298506,Bearish,1,7.0,0,,1,0.0,6.309780101283442,9,3.82838469766589
64496,2026-05-27,05:05:19,PM,0,<10,432.82,410.88,5.069081835405018,Bearish,1,9.0,0,,1,0.0,6.309780101283442,9,3.82838469766589
64497,2026-05-27,05:01:20,PM,300,100-499,432.86,413.35,4.507230975373098,Bearish,1,7.0,0,,1,0.0,6.318437886239203,9,3.8187900587805497
