id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
148,2025-08-05,13:54:36,AH,40,20-49,308.72,220.99,28.41733609743457,Bearish,0,,0,,0.4048972464682892,1
149,2025-08-05,14:08:52,AH,125,100-499,308.72,226.73,26.55804612593937,Bearish,0,,0,,0.4048972464682892,1
150,2025-08-05,13:54:25,AH,200,100-499,307.0,233.35,23.99022801302932,Bearish,0,,0,,0.0,0
151,2025-08-05,13:54:59,AH,60,50-100,308.72,235.54,23.70432754599638,Bearish,0,,0,,0.4048972464682892,1
152,2025-08-05,13:45:18,AH,40,20-49,307.09,237.8,22.563417890520686,Bearish,0,,0,,0.0,0
153,2025-08-05,13:52:52,AH,160,100-499,307.0,238.12,22.43648208469055,Bearish,0,,0,,0.0,0
154,2025-08-05,13:49:50,AH,600,500-999,307.09,238.16,22.44618841382005,Bearish,0,,0,,0.0,0
155,2025-08-05,13:48:50,AH,30,20-49,308.72,240.07,22.236978491837274,Bearish,0,,0,,0.4048972464682892,1
156,2025-08-05,14:12:37,AH,40,20-49,308.72,243.18,21.229593158849447,Bearish,0,,0,,0.4048972464682892,1
157,2025-08-05,13:48:00,AH,60,50-100,307.09,250.27,18.502719072584576,Bearish,0,,0,,0.0,0
158,2025-08-05,14:05:37,AH,40,20-49,308.72,251.38,18.573464628142013,Bearish,0,,0,,0.4048972464682892,1
159,2025-08-05,13:46:25,AH,400,100-499,307.09,251.59,18.072877658015557,Bearish,0,,0,,0.0,0
160,2025-08-05,13:43:45,AH,20,20-49,307.28,252.84,17.71674043217911,Bearish,0,,0,,0.0,0
161,2025-08-05,13:52:16,AH,5040,>=5000,308.72,254.15,17.676211453744497,Bearish,0,,0,,0.4048972464682892,1
162,2025-08-05,13:55:42,AH,200,100-499,308.72,256.91,16.78219746048199,Bearish,0,,0,,0.4048972464682892,1
163,2025-08-05,14:18:25,AH,20,20-49,308.72,261.21,15.389349572428104,Bearish,0,,0,,0.4048972464682892,1
164,2025-08-05,14:13:04,AH,120,100-499,308.72,268.3,13.092770147706664,Bearish,0,,0,,0.4048972464682892,1
165,2025-08-05,14:09:29,AH,40,20-49,308.08,269.84,12.412360425863415,Bearish,0,,0,,0.19800012311635262,1
166,2025-08-05,13:50:08,AH,252,100-499,308.72,269.88,12.580979528375236,Bearish,0,,0,,0.4048972464682892,1
167,2025-08-05,13:56:36,AH,120,100-499,308.72,274.77,10.997019953355805,Bearish,0,,0,,0.4048972464682892,1
168,2025-08-05,13:50:41,AH,80,50-100,308.72,274.93,10.945193055195652,Bearish,0,,0,,0.4048972464682892,1
169,2025-08-05,14:07:44,AH,20,20-49,308.72,278.58,9.76289194091735,Bearish,0,,0,,0.4048972464682892,1
170,2025-08-05,13:43:57,AH,200,100-499,308.72,279.61,9.429256284011405,Bearish,0,,0,,0.4048972464682892,1
171,2025-08-05,14:11:01,AH,30,20-49,308.72,280.33,9.196035242290762,Bearish,0,,0,,0.4048972464682892,1
172,2025-08-05,14:03:34,AH,400,100-499,306.95,281.56,8.2717054894934,Bearish,0,,0,,0.0,0
173,2025-08-05,13:55:37,AH,360,100-499,308.72,282.25,8.574112464369016,Bearish,0,,0,,0.4048972464682892,1
174,2025-08-05,14:06:25,AH,200,100-499,308.08,282.69,8.241365878992465,Bearish,0,,0,,0.19800012311635262,1
175,2025-08-05,13:56:55,AH,800,500-999,308.72,282.79,8.39919668307852,Bearish,0,,0,,0.4048972464682892,1
176,2025-08-05,14:08:05,AH,185,100-499,308.72,286.1,7.327027727390517,Bearish,0,,0,,0.4048972464682892,1
177,2025-08-05,14:01:19,AH,60,50-100,306.95,287.59,6.307216158983553,Bearish,0,,0,,0.0,0
178,2025-08-05,13:44:35,AH,40,20-49,307.28,290.89,5.333897422546208,Bearish,0,,0,,0.0,0
179,2025-08-05,14:13:47,AH,40,20-49,308.72,291.31,5.639414356050798,Bearish,0,,0,,0.4048972464682892,1
180,2025-08-05,13:57:58,AH,100,50-100,308.72,293.23,5.017491578129051,Bearish,0,,0,,0.4048972464682892,1
181,2025-08-05,14:08:19,AH,30,20-49,308.08,293.88,4.609192417553879,Bearish,0,,0,,0.19800012311635262,1
